14,20,6,19,13,31,14,12
3,31,6,3,12,6,3,12
1,7,20,30,20,20,30,12
13,19,7,26,19,28,13,20
14,26,26,7,7,12,20,7
18,20,27,3,20,33,20,14
14,27,19,13,33,20,30,26
18,30,3,14,6,3,7,12
1,14,27,12,6,18,30,7
13,30,19,12,1,19,12,12
29,24,26,3,12,6,3,12
14,14,20,30,6,3,7,12
14,14,12,6,3,7,7,12
7,12,7,12,7,12,7,12
28,12,13,6,3,12,12,27
12,18,27,3,12,1,3,12
26,3,2,12,12,24,3,12
18,30,3,14,6,3,7,12
12,6,3,12,12,18,27,7
14,18,6,19,12,6,18,30
14,14,20,30,6,3,7,12
14,14,12,6,3,7,7,12
7,12,7,12,7,12,7,12
7,12,14,12,6,3,7,12
14,12,12,30,7,12,12,12
6,18,30,3,7,12,12,13
1,18,30,3,7,12,12,13
26,3,12,12,6,18,30,13
6,18,30,3,7,7,12,13
1,18,30,3,7,7,12,13
1,18,30,3,7,12,12,13
25,13,19,7,12,12,12,12
18,27,24,26,3,12,33,20
18,27,3,6,3,12,3,12
19,12,29,7,19,12,29,7
19,13,29,7,19,13,29,7
14,12,12,19,7,12,12,23
18,30,20,7,18,30,14,7
18,26,29,23,18,26,29,23
14,5,12,12,12,27,3,12
18,27,3,6,3,12,3,12
7,12,7,12,27,7,7,12
26,18,23,18,26,14,18,12
7,12,7,12,27,7,7,12
7,12,7,12,18,6,18,30
14,3,20,27,28,18,27,18
14,12,12,32,26,18,18,27
3,7,12,12,6,18,14,14
12,18,23,1,12,1,26,18
14,3,20,27,28,18,27,18
14,12,12,32,26,18,18,27
18,30,7,12,14,8,6,14
14,6,18,30,26,6,6,20
14,3,20,27,28,18,27,18
14,12,12,32,26,18,18,27
26,3,7,6,18,27,3,14
12,18,23,1,12,1,26,18
14,3,20,27,28,18,27,18
28,6,14,14,12,6,3,12
12,3,7,7,12,18,27,7
28,23,3,12,6,18,20,30
28,24,19,13,6,18,20,30
28,18,18,20,30,12,6,18
19,7,24,26,3,12,18,29
28,6,14,14,12,6,3,12
12,3,7,7,12,18,27,7
14,20,28,12,12,18,30,12
1,3,7,12,26,19,12,12
14,18,7,13,30,7,6,18
14,14,31,27,12,6,3,12
7,12,13,27,3,7,12,7
18,30,7,12,6,19,13,27
6,3,12,6,12,12,12,12
14,3,7,13,12,1,12,13
14,12,18,6,1,20,26,18
12,18,31,7,14,12,12,30
13,30,3,12,12,20,20,30
13,30,3,12,12,20,20,30
6,18,7,13,30,18,7,13
19,3,7,12,1,18,20,26
18,30,6,13,14,12,12,13
18,27,3,12,35,3,13,27
3,6,19,13,14,19,12,14
33,27,12,12,3,6,18,30
14,18,30,7,13,1,12,13
20,12,27,7,12,6,3,12
19,13,24,18,18,1,18,30
14,6,3,7,12,26,6,18
